codigo,especificacao,previsao,arrecadacao
17,TRANSFERÊNCIAS CORRENTES,1242675000.0,1415888455.89
11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",1043884000.0,1210437797.02
72,CONTRIBUIÇÕES,300967000.0,299245526.24
12,CONTRIBUIÇÕES,149775000.0,165783896.8
13,RECEITA PATRIMONIAL,35054000.0,87045781.06
19,OUTRAS RECEITAS CORRENTES,53786000.0,75066040.06
21,OPERAÇÕES DE CRÉDITO,68200000.0,52929481.31
16,RECEITA DE SERVIÇOS,67493000.0,45353117.95
79,OUTRAS RECEITAS CORRENTES,16435000.0,23275118.98
24,TRANSFERÊNCIAS DE CAPITAL,4126000.0,8611079.84
29,OUTRAS RECEITAS DE CAPITAL,0.0,3612975.0
22,ALIENAÇÃO DE BENS,210000.0,1793643.55
76,RECEITA DE SERVIÇOS,653000.0,700697.11
73,RECEITA PATRIMONIAL,224000.0,486518.93
14,RECEITA AGROPECUÁRIA,0.0,0.0
23,AMORTIZAÇÃO DE EMPRÉSTIMOS,0.0,0.0
15,RECEITA INDUSTRIAL,0.0,0.0
