codigo,especificacao,previsao,arrecadacao
17,TRANSFERÊNCIAS CORRENTES,1100247000.0,1222903725.85
11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",866950000.0,975256297.55
13,RECEITA PATRIMONIAL,34514000.0,64743805.83
16,RECEITA DE SERVIÇOS,61060000.0,59552959.36
19,OUTRAS RECEITAS CORRENTES,38118000.0,46202963.67
21,OPERAÇÕES DE CRÉDITO,58000000.0,41948978.11
12,CONTRIBUIÇÕES,40549000.0,40766520.83
24,TRANSFERÊNCIAS DE CAPITAL,23915000.0,21401881.53
72,CONTRIBUIÇÕES - INTRAORÇAMENTÁRIA,24806000.0,6120264.18
79,OUTRAS RECEITAS CORRENTES,111000.0,2801389.76
22,ALIENAÇÃO DE BENS,1104000.0,2620765.2
76,RECEITA DE SERVIÇOS,361000.0,252711.42
73,RECEITA PATRIMONIAL,36000.0,37803.6
15,RECEITA INDUSTRIAL,0.0,0.0
23,AMORTIZAÇÃO DE EMPRÉSTIMOS,0.0,0.0
29,OUTRAS RECEITAS DE CAPITAL,2000000.0,0.0
14,RECEITA AGROPECUÁRIA,0.0,0.0
