ano,entidade,empenhado,liquidado,pago
2020,Prefeitura do Município de Londrina,1094519908.11,1060984843.59,1047033956.67
2020,Fundo Municipal de Saúde de Londrina,845169949.57,776191116.8,773769611.76
2020,CAAPSML - Plano de Previdência Social - Fundo Previdenciário,353988209.08,353985980.67,353978727.48
2020,Fundo de Urbanização de Londrina,107541420.5,101794667.04,101291943.71
2020,Fundo de Assistência à Saúde dos Servidores Municipais de Londrina,64141776.08,56396816.57,55579214.52
2020,Câmara Municipal de Londrina,34716351.38,36002326.19,34831924.97
2020,Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF,14036277.94,13803203.65,13701347.88
2020,Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina,13272738.41,13475580.63,13426680.54
2020,Instituto de Desenvolvimento de Londrina - CODEL,8173225.04,8149528.22,8154136.44
2020,Fundação de Esportes de Londrina,7749696.15,7627454.26,7942982.83
2020,Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL,5104568.49,5079733.75,5089840.33
2020,Autarquia Municipal de Saúde - AMS,72952.71,66563.87,66563.87
