Exercício;Entidade;Liquidado - Orçamento;Estornado - Orçamento;Liquidado - Restos a pagar;Estornado - Restos a pagar;Líquido
2022;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"15.327.726,68";"129.602,18";"1.255.232,90";"20.159,43";"16.433.197,97"
2022;Autarquia Municipal de Saúde - AMS;"90.202,18";"1.058,40";"0,00";"0,00";"89.143,78"
2022;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"12.162.341,67";"223.428,97";"230.892,91";"0,00";"12.169.805,61"
2022;Câmara Municipal de Londrina;"38.533.208,01";"139.563,89";"404.207,03";"800,00";"38.797.051,15"
2022;Fundação de Esportes de Londrina;"12.111.266,77";"232.866,31";"397.111,09";"2.003,41";"12.273.508,14"
2022;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"15.653.800,19";"5.360,96";"6.882.458,14";"128.462,34";"22.402.435,03"
2022;Fundo de Previdência Social dos Servidores Municipais de Londrina;"441.741.733,75";"102.715,02";"812.057,43";"0,00";"442.451.076,16"
2022;Fundo de Urbanização de Londrina;"109.984.182,10";"4.732.821,59";"7.954.623,78";"48.588,36";"113.157.395,93"
2022;Fundo Municipal de Saúde de Londrina;"785.185.985,27";"6.116.998,60";"63.233.724,48";"355.232,33";"841.947.478,82"
2022;Instituto de Desenvolvimento de Londrina - CODEL;"11.112.413,95";"117.948,22";"819.381,16";"1.038,37";"11.812.808,52"
2022;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"5.935.671,44";"21.373,99";"340.167,27";"249,64";"6.254.215,08"
2022;Prefeitura do Município de Londrina;"1.270.932.770,90";"23.941.116,11";"99.377.407,99";"3.291.690,47";"1.343.077.372,31"
2022 total;;"2.718.771.302,91";"35.764.854,24";"181.707.264,18";"3.848.224,35";"2.860.865.488,50"
