Exercício;Entidade;Liquidado - Orçamento;Estornado - Orçamento;Liquidado - Restos a pagar;Estornado - Restos a pagar;Líquido
2020;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"12.624.737,81";"255.788,28";"1.178.465,84";"21.900,75";"13.525.514,62"
2020;Autarquia Municipal de Saúde - AMS;"66.563,87";"0,00";"0,00";"0,00";"66.563,87"
2020;CAAPSML - Plano de Previdência Social - Fundo Previdenciário;"353.981.016,21";"73.580,08";"4.964,46";"0,00";"353.912.400,59"
2020;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"12.562.362,52";"68.502,92";"913.218,11";"5.463,92";"13.401.613,79"
2020;Câmara Municipal de Londrina;"34.854.410,48";"865.637,93";"1.147.915,71";"362.005,27";"34.774.682,99"
2020;Fundação de Esportes de Londrina;"7.256.587,07";"42.325,44";"370.867,19";"1.210,10";"7.583.918,72"
2020;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"48.067.427,02";"382.329,96";"8.329.389,55";"452.198,83";"55.562.287,78"
2020;Fundo de Urbanização de Londrina;"91.110.668,28";"2.172.957,48";"10.683.998,76";"302.847,33";"99.318.862,23"
2020;Fundo Municipal de Saúde de Londrina;"731.388.903,17";"7.272.623,40";"44.802.213,63";"306.628,85";"768.611.864,55"
2020;Instituto de Desenvolvimento de Londrina - CODEL;"8.133.693,55";"62.151,72";"15.834,67";"0,00";"8.087.376,50"
2020;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"5.032.323,71";"9.970,08";"47.410,04";"13,19";"5.069.750,48"
2020;Prefeitura do Município de Londrina;"961.368.050,68";"14.425.291,53";"99.616.792,91";"1.675.137,74";"1.044.884.414,32"
2020 total;;"2.266.446.744,37";"25.631.158,82";"167.111.070,87";"3.127.405,98";"2.404.799.250,44"
