Exercício;Entidade;Liquidado - Orçamento;Estornado - Orçamento;Liquidado - Restos a pagar;Estornado - Restos a pagar;Líquido
2019;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"11.498.064,07";"99.772,58";"445.503,64";"25.538,77";"11.818.256,36"
2019;Autarquia Municipal de Saúde - AMS;"57.530,74";"2.018,80";"0,00";"0,00";"55.511,94"
2019;CAAPSML - Plano de Previdência Social - Fundo Previdenciário;"316.193.460,07";"1.831,22";"222.475,58";"0,00";"316.414.104,43"
2019;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"11.064.098,72";"52.458,21";"368.116,86";"2.758,44";"11.376.998,93"
2019;Câmara Municipal de Londrina;"32.399.264,36";"130.243,18";"306.364,44";"5.213,74";"32.570.171,88"
2019;Fundação de Esportes de Londrina;"10.201.429,59";"303.694,96";"347.564,56";"511,40";"10.244.787,79"
2019;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"52.933.776,56";"227.440,94";"6.148.843,25";"197.438,19";"58.657.740,68"
2019;Fundo de Urbanização de Londrina;"86.695.474,13";"3.880.809,45";"4.558.160,33";"9.733,18";"87.363.091,83"
2019;Fundo Municipal de Saúde de Londrina;"641.282.713,34";"2.589.101,08";"21.771.548,13";"291.167,33";"660.173.993,06"
2019;Instituto de Desenvolvimento de Londrina - CODEL;"5.574.620,96";"45.598,88";"48.308,34";"0,00";"5.577.330,42"
2019;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"4.794.888,00";"2.831,58";"129.199,73";"0,00";"4.921.256,15"
2019;Prefeitura do Município de Londrina;"939.244.302,93";"14.565.251,18";"134.716.171,71";"3.950.827,66";"1.055.444.395,80"
2019 total;;"2.111.939.623,47";"21.901.052,06";"169.062.256,57";"4.483.188,71";"2.254.617.639,27"
