Exercício;Entidade;Liquidado - Orçamento;Estornado - Orçamento;Liquidado - Restos a pagar;Estornado - Restos a pagar;Líquido
2024;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"17.013.305,83";"182.701,81";"738.780,85";"15.022,58";"17.554.362,29"
2024;Autarquia Municipal de Saúde - AMS;"318.408,59";"88,00";"0,00";"0,00";"318.320,59"
2024;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"12.504.931,58";"144.009,06";"1.161.885,54";"26.284,15";"13.496.523,91"
2024;Câmara Municipal de Londrina;"44.535.057,12";"230.169,37";"1.299.963,90";"94.024,64";"45.510.827,01"
2024;Fundação de Esportes de Londrina;"11.993.842,79";"103.547,42";"1.653.001,78";"21.055,70";"13.522.241,45"
2024;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"187.482,55";"59,50";"1.233,90";"0,00";"188.656,95"
2024;Fundo de Previdência Social dos Servidores Municipais de Londrina;"618.004.628,51";"42.747.710,70";"375.888,33";"0,00";"575.632.806,14"
2024;Fundo de Urbanização de Londrina;"137.339.204,04";"10.154.180,30";"7.458.757,68";"79.173,39";"134.564.608,03"
2024;Fundo Municipal de Saúde de Londrina;"972.796.400,21";"6.152.545,72";"55.231.682,08";"1.386.801,34";"1.020.488.735,23"
2024;Instituto de Desenvolvimento de Londrina - CODEL;"9.872.176,81";"18.420,12";"6.839.057,38";"177.527,56";"16.515.286,51"
2024;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"8.069.211,17";"29.676,30";"10.228,85";"106,75";"8.049.656,97"
2024;Prefeitura do Município de Londrina;"1.881.098.771,53";"38.900.552,25";"180.498.591,81";"7.235.781,52";"2.015.461.029,57"
2024 total;;"3.713.733.420,73";"98.663.660,55";"255.269.072,10";"9.035.777,63";"3.861.303.054,65"
