Exercício;Entidade;Liquidado - Orçamento;Estornado - Orçamento;Liquidado - Restos a pagar;Estornado - Restos a pagar;Líquido
2023;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"15.754.618,72";"220.817,24";"730.682,88";"800,64";"16.263.683,72"
2023;Autarquia Municipal de Saúde - AMS;"179.076,34";"174,99";"0,00";"0,00";"178.901,35"
2023;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"12.585.605,47";"1.028.330,75";"292.249,28";"15.155,19";"11.834.368,81"
2023;Câmara Municipal de Londrina;"42.718.550,28";"924.282,31";"526.249,42";"3.365,44";"42.317.151,95"
2023;Fundação de Esportes de Londrina;"11.993.087,50";"195.882,20";"433.016,92";"26,68";"12.230.195,54"
2023;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"342.404,38";"0,00";"11.770,36";"0,00";"354.174,74"
2023;Fundo de Previdência Social dos Servidores Municipais de Londrina;"505.716.024,72";"1.374,12";"41.697,78";"0,00";"505.756.348,38"
2023;Fundo de Urbanização de Londrina;"124.092.767,95";"4.591.716,45";"12.917.251,51";"707.759,58";"131.710.543,43"
2023;Fundo Municipal de Saúde de Londrina;"919.220.392,51";"10.003.921,81";"62.836.370,82";"421.569,46";"971.631.272,06"
2023;Instituto de Desenvolvimento de Londrina - CODEL;"9.276.182,19";"119.852,22";"2.423.827,66";"0,00";"11.580.157,63"
2023;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"6.924.388,14";"20.927,27";"13.320,73";"0,40";"6.916.781,20"
2023;Prefeitura do Município de Londrina;"1.565.239.732,27";"25.478.472,47";"168.653.983,93";"10.593.179,19";"1.697.822.064,54"
2023 total;;"3.214.042.830,47";"42.585.751,83";"248.880.421,29";"11.741.856,58";"3.408.595.643,35"
