Exercício;Entidade;Liquidado - Orçamento;Estornado - Orçamento;Liquidado - Restos a pagar;Estornado - Restos a pagar;Líquido
2021;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"14.143.371,85";"263.478,54";"665.569,72";"2.681,01";"14.542.782,02"
2021;Autarquia Municipal de Saúde - AMS;"25.667,22";"0,00";"0,00";"0,00";"25.667,22"
2021;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"9.330.970,28";"18.592,26";"279.625,01";"22.303,68";"9.569.699,35"
2021;Câmara Municipal de Londrina;"32.329.161,37";"61.360,91";"268.966,02";"0,00";"32.536.766,48"
2021;Fundação de Esportes de Londrina;"7.076.930,45";"39.016,77";"378.604,30";"970,21";"7.415.547,77"
2021;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"50.505.646,25";"153.598,00";"8.015.377,84";"34.240,73";"58.333.185,36"
2021;Fundo de Previdência Social dos Servidores Municipais de Londrina;"377.618.427,65";"2.082.912,91";"0,00";"0,00";"375.535.514,74"
2021;Fundo de Urbanização de Londrina;"89.176.200,38";"2.829.544,92";"7.039.918,13";"100.313,20";"93.286.260,39"
2021;Fundo Municipal de Saúde de Londrina;"765.797.111,64";"3.527.344,52";"50.956.392,78";"527.424,55";"812.698.735,35"
2021;Instituto de Desenvolvimento de Londrina - CODEL;"6.809.114,77";"23.156,54";"29.713,73";"0,00";"6.815.671,96"
2021;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"5.136.746,48";"143.182,67";"22.448,79";"0,00";"5.016.012,60"
2021;Prefeitura do Município de Londrina;"1.056.848.990,23";"13.578.584,88";"61.147.774,09";"2.403.115,50";"1.102.015.063,94"
2021 total;;"2.414.798.338,57";"22.720.772,92";"128.804.390,41";"3.091.048,88";"2.517.790.907,18"
