Exercício;Entidade;Liquidado - Orçamento;Estornado - Orçamento;Liquidado - Restos a pagar;Estornado - Restos a pagar;Líquido
2018;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"9.847.171,00";"116.792,93";"495.152,27";"7.733,05";"10.217.797,29"
2018;Autarquia Municipal de Saúde - AMS;"40.783,28";"144,20";"600,00";"0,00";"41.239,08"
2018;CAAPSML - Plano de Previdência Social - Fundo Previdenciário;"295.429.637,89";"4.307,50";"28.932,32";"0,00";"295.454.262,71"
2018;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"8.477.683,07";"44.592,30";"1.568.127,98";"12.929,95";"9.988.288,80"
2018;Câmara Municipal de Londrina;"31.136.553,91";"79.705,23";"236.145,42";"7.866,50";"31.285.127,60"
2018;Fundação de Esportes de Londrina;"9.229.371,04";"307.219,39";"210.049,59";"1.826,37";"9.130.374,87"
2018;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"47.845.331,03";"489.850,93";"8.866.270,31";"946.895,36";"55.274.855,05"
2018;Fundo de Urbanização de Londrina;"75.811.130,10";"2.603.949,56";"5.184.116,87";"2.298,26";"78.388.999,15"
2018;Fundo Municipal de Saúde de Londrina;"624.549.319,35";"8.050.717,91";"24.206.025,72";"406.314,63";"640.298.312,53"
2018;Instituto de Desenvolvimento de Londrina - CODEL;"5.713.540,20";"55.326,11";"5.647,18";"0,00";"5.663.861,27"
2018;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"4.478.688,38";"7.182,45";"26.669,99";"205,83";"4.497.970,09"
2018;Prefeitura do Município de Londrina;"820.432.217,72";"11.866.493,63";"26.261.807,49";"551.835,37";"834.275.696,21"
2018 total;;"1.932.991.426,97";"23.626.282,14";"67.089.545,14";"1.937.905,32";"1.974.516.784,65"
