Exercício;Entidade;Pago - Orçamento;Estornado - Orçamento;Pago - Restos a pagar;Estornado - Restos a pagar;Líquido
2020;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"12.339.413,66";"72.719,68";"1.361.934,22";"633,32";"13.627.994,88"
2020;Autarquia Municipal de Saúde - AMS;"66.563,87";"0,00";"0,00";"0,00";"66.563,87"
2020;CAAPSML - Plano de Previdência Social - Fundo Previdenciário;"353.973.763,02";"66.326,89";"4.964,46";"0,00";"353.912.400,59"
2020;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"12.514.766,59";"39.997,71";"911.913,95";"3.780,36";"13.382.902,47"
2020;Câmara Municipal de Londrina;"34.026.394,86";"37.622,31";"805.530,11";"19.619,67";"34.774.682,99"
2020;Fundação de Esportes de Londrina;"7.570.617,34";"358.717,22";"372.365,49";"2.708,40";"7.581.557,21"
2020;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"47.701.886,88";"28.834,82";"7.877.327,64";"0,00";"55.550.379,70"
2020;Fundo de Urbanização de Londrina;"88.226.533,33";"1.186.299,48";"13.065.410,38";"0,00";"100.105.644,23"
2020;Fundo Municipal de Saúde de Londrina;"724.993.336,95";"3.261.901,23";"48.776.274,81";"186.650,86";"770.321.059,67"
2020;Instituto de Desenvolvimento de Londrina - CODEL;"8.137.155,70";"68.480,76";"16.980,74";"0,00";"8.085.655,68"
2020;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"5.020.083,24";"9.490,15";"69.757,09";"0,58";"5.080.349,60"
2020;Prefeitura do Município de Londrina;"946.656.617,91";"4.839.814,27";"100.377.338,76";"729.816,44";"1.041.464.325,96"
2020 total;;"2.241.227.133,35";"9.970.204,52";"173.639.797,65";"943.209,63";"2.403.953.516,85"
