Exercício;Entidade;Pago - Orçamento;Estornado - Orçamento;Pago - Restos a pagar;Estornado - Restos a pagar;Líquido
2023;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"15.579.399,86";"46.473,02";"738.802,39";"2.629,14";"16.269.100,09"
2023;Autarquia Municipal de Saúde - AMS;"166.065,20";"174,99";"0,00";"0,00";"165.890,21"
2023;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"11.584.908,99";"28.549,27";"293.824,12";"1.654,97";"11.848.528,87"
2023;Câmara Municipal de Londrina;"42.381.862,16";"827.565,72";"747.114,74";"0,00";"42.301.411,18"
2023;Fundação de Esportes de Londrina;"12.220.247,86";"452.854,16";"439.865,64";"6.875,40";"12.200.383,94"
2023;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"343.052,84";"648,46";"11.770,36";"0,00";"354.174,74"
2023;Fundo de Previdência Social dos Servidores Municipais de Londrina;"505.722.570,21";"8.273,66";"41.697,78";"0,00";"505.755.994,33"
2023;Fundo de Urbanização de Londrina;"117.950.299,22";"1.608.063,00";"13.966.651,52";"0,00";"130.308.887,74"
2023;Fundo Municipal de Saúde de Londrina;"910.255.222,45";"4.853.610,01";"65.879.746,21";"90.250,91";"971.191.107,74"
2023;Instituto de Desenvolvimento de Londrina - CODEL;"9.255.122,10";"116.041,84";"2.548.371,41";"330,00";"11.687.121,67"
2023;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"6.908.218,58";"6.976,61";"36.897,19";"0,00";"6.938.139,16"
2023;Prefeitura do Município de Londrina;"1.542.491.068,99";"5.278.132,64";"170.353.122,82";"4.576.586,59";"1.702.989.472,58"
2023 total;;"3.174.858.038,46";"13.227.363,38";"255.057.864,18";"4.678.327,01";"3.412.010.212,25"
