Exercício;Entidade;Pago - Orçamento;Estornado - Orçamento;Pago - Restos a pagar;Estornado - Restos a pagar;Líquido
2018;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"9.846.042,89";"119.017,84";"502.978,63";"961,70";"10.229.041,98"
2018;Autarquia Municipal de Saúde - AMS;"40.639,08";"0,00";"744,20";"0,00";"41.383,28"
2018;CAAPSML - Plano de Previdência Social - Fundo Previdenciário;"295.428.637,99";"3.307,60";"31.871,36";"0,00";"295.457.201,75"
2018;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"8.429.525,12";"21.239,06";"1.589.285,86";"0,00";"9.997.571,92"
2018;Câmara Municipal de Londrina;"31.078.116,60";"21.627,92";"228.307,04";"28,12";"31.284.767,60"
2018;Fundação de Esportes de Londrina;"9.206.543,49";"284.391,84";"208.252,39";"29,17";"9.130.374,87"
2018;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"47.360.557,79";"25.271,99";"8.708.349,36";"519.742,18";"55.523.892,98"
2018;Fundo de Urbanização de Londrina;"70.726.133,61";"39.615,19";"7.794.283,06";"0,00";"78.480.801,48"
2018;Fundo Municipal de Saúde de Londrina;"606.962.716,63";"3.385.748,36";"30.029.391,35";"500.529,81";"633.105.829,81"
2018;Instituto de Desenvolvimento de Londrina - CODEL;"5.776.866,22";"119.958,57";"74.259,97";"0,00";"5.731.167,62"
2018;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"4.485.172,24";"13.757,81";"29.978,41";"0,00";"4.501.392,84"
2018;Prefeitura do Município de Londrina;"791.083.012,29";"4.266.887,38";"44.344.937,67";"824.188,72";"830.336.873,86"
2018 total;;"1.880.423.963,95";"8.300.823,56";"93.542.639,30";"1.845.479,70";"1.963.820.299,99"
