Exercício;Entidade;Pago - Orçamento;Estornado - Orçamento;Pago - Restos a pagar;Estornado - Restos a pagar;Líquido
2019;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"11.263.290,00";"73.394,95";"419.964,87";"0,00";"11.609.859,92"
2019;Autarquia Municipal de Saúde - AMS;"55.511,94";"0,00";"0,00";"0,00";"55.511,94"
2019;CAAPSML - Plano de Previdência Social - Fundo Previdenciário;"316.193.460,07";"2.783,01";"222.475,58";"0,00";"316.413.152,64"
2019;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"11.058.515,27";"47.254,16";"389.927,71";"5.516,88";"11.395.671,94"
2019;Câmara Municipal de Londrina;"32.321.217,83";"52.196,65";"306.724,44";"5.213,74";"32.570.531,88"
2019;Fundação de Esportes de Londrina;"10.167.216,77";"269.482,14";"347.564,56";"511,40";"10.244.787,79"
2019;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"52.694.967,06";"690,00";"5.971.156,18";"0,00";"58.665.433,24"
2019;Fundo de Urbanização de Londrina;"81.203.017,36";"1.072.611,63";"7.068.710,76";"0,00";"87.199.116,49"
2019;Fundo Municipal de Saúde de Londrina;"636.055.199,65";"1.507.265,63";"34.778.191,74";"434.090,83";"668.892.034,93"
2019;Instituto de Desenvolvimento de Londrina - CODEL;"5.569.118,96";"41.242,95";"49.614,78";"0,00";"5.577.490,79"
2019;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"4.821.474,45";"51.777,69";"129.291,23";"0,00";"4.898.987,99"
2019;Prefeitura do Município de Londrina;"927.472.491,69";"12.577.484,49";"152.974.396,15";"751.627,58";"1.067.117.775,77"
2019 total;;"2.088.875.481,05";"15.696.183,30";"202.658.018,00";"1.196.960,43";"2.274.640.355,32"
