Exercício;Entidade;Pago - Orçamento;Estornado - Orçamento;Pago - Restos a pagar;Estornado - Restos a pagar;Líquido
2025;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"9.547.736,61";"56.491,98";"960.978,67";"12.853,53";"10.439.369,77"
2025;Autarquia Municipal de Saúde - AMS;"193.585,00";"0,00";"106,73";"0,00";"193.691,73"
2025;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"7.476.595,60";"3.335,79";"1.338.186,75";"12.447,99";"8.798.998,57"
2025;Câmara Municipal de Londrina;"25.230.029,46";"66.677,12";"1.926.696,93";"93,86";"27.089.955,41"
2025;Fundação de Esportes de Londrina;"7.485.881,00";"180.030,08";"621.880,05";"0,00";"7.927.730,97"
2025;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"63.712,21";"0,00";"726,45";"0,00";"64.438,66"
2025;Fundo de Previdência Social dos Servidores Municipais de Londrina;"331.386.143,44";"96,32";"2.237.120,09";"0,00";"333.623.167,21"
2025;Fundo de Urbanização de Londrina;"69.751.341,39";"19,91";"14.521.284,15";"0,00";"84.272.605,63"
2025;Fundo Municipal de Saúde de Londrina;"534.200.248,33";"206.629,08";"67.905.401,87";"317.930,52";"601.581.090,60"
2025;Instituto de Desenvolvimento de Londrina - CODEL;"3.103.595,38";"2.342,78";"3.187.268,38";"0,35";"6.288.520,63"
2025;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"4.205.024,93";"1.559,86";"30.704,82";"17,48";"4.234.152,41"
2025;Prefeitura do Município de Londrina;"994.706.464,64";"4.835.983,18";"88.057.722,23";"3.669.469,00";"1.074.258.734,69"
2025 total;;"1.987.350.357,99";"5.353.166,10";"180.788.077,12";"4.012.812,73";"2.158.772.456,28"
