Exercício;Entidade;Pago - Orçamento;Estornado - Orçamento;Pago - Restos a pagar;Estornado - Restos a pagar;Líquido
2024;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"16.740.112,82";"24.637,16";"726.132,91";"1.500,00";"17.440.108,57"
2024;Autarquia Municipal de Saúde - AMS;"318.320,59";"0,00";"13.011,14";"0,00";"331.331,73"
2024;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"12.371.718,87";"18.555,45";"1.136.066,39";"0,00";"13.489.229,81"
2024;Câmara Municipal de Londrina;"44.166.572,82";"117.083,94";"1.445.910,79";"0,00";"45.495.399,67"
2024;Fundação de Esportes de Londrina;"12.195.359,62";"305.064,25";"1.642.019,33";"5.571,44";"13.526.743,26"
2024;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"187.482,55";"59,50";"1.233,90";"0,00";"188.656,95"
2024;Fundo de Previdência Social dos Servidores Municipais de Londrina;"574.954.510,68";"28.919,66";"376.242,38";"0,00";"575.301.833,40"
2024;Fundo de Urbanização de Londrina;"134.850.827,83";"8.085.120,41";"10.538.399,57";"0,00";"137.304.106,99"
2024;Fundo Municipal de Saúde de Londrina;"965.498.570,65";"190.473,63";"57.658.978,21";"1.977,79";"1.022.965.097,44"
2024;Instituto de Desenvolvimento de Londrina - CODEL;"9.775.177,09";"15.862,58";"6.678.779,53";"0,00";"16.438.094,04"
2024;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"8.084.106,11";"44.571,24";"12.371,08";"30,08";"8.051.875,87"
2024;Prefeitura do Município de Londrina;"1.858.194.559,50";"17.400.437,95";"175.923.707,25";"264.861,96";"2.016.452.966,84"
2024 total;;"3.637.337.319,13";"26.230.785,77";"256.152.852,48";"273.941,27";"3.866.985.444,57"
