codigo,especificacao,previsao,arrecadacao
17,TRANSFERÊNCIAS CORRENTES,1017856000.0,1004479118.67
11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",856023000.0,723419023.88
12,CONTRIBUIÇÕES,38233000.0,50158211.57
16,RECEITA DE SERVIÇOS,55514000.0,49810982.99
19,OUTRAS RECEITAS CORRENTES,32721000.0,34820676.28
72,CONTRIBUIÇÕES - INTRAORÇAMENTÁRIA,31904000.0,26444405.55
13,RECEITA PATRIMONIAL,62864000.0,26003827.42
24,TRANSFERÊNCIAS DE CAPITAL,33187000.0,12515733.17
21,OPERAÇÕES DE CRÉDITO,100770000.0,1847810.58
22,ALIENAÇÃO DE BENS,1148000.0,957100.0
76,RECEITA DE SERVIÇOS,265000.0,490381.38
79,OUTRAS RECEITAS CORRENTES,213000.0,60663.9
15,RECEITA INDUSTRIAL,0.0,0.0
14,RECEITA AGROPECUÁRIA,0.0,0.0
99,RECURSOS ARRECADADOS EM EXERCÍCIOS ANTERIORES,0.0,0.0
29,OUTRAS RECEITAS DE CAPITAL,0.0,0.0
23,AMORTIZAÇÃO DE EMPRÉSTIMOS,0.0,0.0
