ano,entidade,empenhado,liquidado,pago
2018,Prefeitura do Município de Londrina,934899227.59,846694025.21,835427949.96
2018,Fundo Municipal de Saúde de Londrina,665372171.1,648755345.07,636992107.98
2018,CAAPSML - Plano de Previdência Social - Fundo Previdenciário,296567345.29,295458570.21,295460509.35
2018,Fundo de Urbanização de Londrina,86212521.3,80995246.97,78520416.67
2018,Fundo de Assistência à Saúde dos Servidores Municipais de Londrina,67883797.78,56711601.34,56068907.15
2018,Câmara Municipal de Londrina,32161742.35,31372699.33,31306423.64
2018,Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF,10667098.17,10342323.27,10349021.52
2018,Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina,9012721.84,10045811.05,10018810.98
2018,Fundação de Esportes de Londrina,9637278.23,9439420.63,9414795.88
2018,Instituto de Desenvolvimento de Londrina - CODEL,5736580.14,5719187.38,5851126.19
2018,Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL,4631612.21,4505358.37,4515150.65
2018,Autarquia Municipal de Saúde - AMS,40639.08,41383.28,41383.28
