codigo,especificacao,previsao,arrecadacao
17,TRANSFERÊNCIAS CORRENTES,1055469000.0,1026616608.47
11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",819906000.0,910632951.64
16,RECEITA DE SERVIÇOS,55478000.0,60518291.14
19,OUTRAS RECEITAS CORRENTES,30859000.0,52004012.23
12,CONTRIBUIÇÕES,39383000.0,44063717.68
72,CONTRIBUIÇÕES,32941000.0,37494248.09
13,RECEITA PATRIMONIAL,44885000.0,28411198.96
21,OPERAÇÕES DE CRÉDITO,66200000.0,17552182.12
24,TRANSFERÊNCIAS DE CAPITAL,33587000.0,15461567.93
29,OUTRAS RECEITAS DE CAPITAL,0.0,4142482.53
76,RECEITA DE SERVIÇOS,361000.0,649087.56
79,OUTRAS RECEITAS CORRENTES,121000.0,71693.7
22,ALIENAÇÃO DE BENS,30072000.0,32936.19
15,RECEITA INDUSTRIAL,0.0,0.0
23,AMORTIZAÇÃO DE EMPRÉSTIMOS,0.0,0.0
14,RECEITA AGROPECUÁRIA,0.0,0.0
