ano,codigo,especificacao,subitem,previsao,arrecadacao,para_mais,para_menos
2019,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",,792273000.0,844781761.28,52508761.28,0.0
2019,11,,Renúncia,15415000.0,48782339.81,0.0,33367339.81
2019,11,,Descontos Concedidos,12208000.0,17068850.55,0.0,4860850.55
2019,11,,Outras Deduções,10000.0,0.0,10000.0,0.0
2019,12,CONTRIBUIÇÕES,,39376000.0,44059157.0,4683157.0,0.0
2019,12,,Renúncia,0.0,4560.68,0.0,4560.68
2019,12,,Descontos Concedidos,4000.0,0.0,4000.0,0.0
2019,12,,Outras Deduções,3000.0,0.0,3000.0,0.0
2019,13,RECEITA PATRIMONIAL,,44885000.0,28411198.96,0.0,16473801.04
2019,14,RECEITA AGROPECUÁRIA,,0.0,0.0,0.0,0.0
2019,15,RECEITA INDUSTRIAL,,0.0,0.0,0.0,0.0
2019,16,RECEITA DE SERVIÇOS,,55478000.0,60518291.14,5040291.14,0.0
2019,16,,Outras Deduções,0.0,0.0,0.0,0.0
2019,17,TRANSFERÊNCIAS CORRENTES,,975723000.0,947456536.15,0.0,28266463.85
2019,17,,Deduções de Receita para a Formação do FUNDEB,79746000.0,79160072.32,585927.68,0.0
2019,19,OUTRAS RECEITAS CORRENTES,,30853000.0,48824910.29,17971910.29,0.0
2019,19,,Renúncia,2000.0,3053471.93,0.0,3051471.93
2019,19,,Descontos Concedidos,2000.0,125630.01,0.0,123630.01
2019,19,,Outras Deduções,2000.0,0.0,2000.0,0.0
2019,21,OPERAÇÕES DE CRÉDITO,,66200000.0,17552182.12,0.0,48647817.88
2019,22,ALIENAÇÃO DE BENS,,30072000.0,32936.19,0.0,30039063.81
2019,23,AMORTIZAÇÃO DE EMPRÉSTIMOS,,0.0,0.0,0.0,0.0
2019,24,TRANSFERÊNCIAS DE CAPITAL,,33587000.0,15461567.93,0.0,18125432.07
2019,29,OUTRAS RECEITAS DE CAPITAL,,0.0,4142482.53,4142482.53,0.0
2019,72,CONTRIBUIÇÕES,,32941000.0,37494248.09,4553248.09,0.0
2019,76,RECEITA DE SERVIÇOS,,361000.0,649087.56,288087.56,0.0
2019,79,OUTRAS RECEITAS CORRENTES,,121000.0,71693.7,0.0,49306.3
