ano,codigo,especificacao,subitem,previsao,arrecadacao,para_mais,para_menos
2024,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",,1350333000.0,1420000266.63,69667266.63,0.0
2024,11,,Renúncia,35770000.0,69568771.42,0.0,33798771.42
2024,11,,Restituições,0.0,0.0,0.0,0.0
2024,11,,Descontos Concedidos,33679000.0,34479010.16,0.0,800010.16
2024,11,,Outras Deduções,0.0,4293879.39,0.0,4293879.39
2024,12,CONTRIBUIÇÕES,,181361000.0,214697335.62,33336335.62,0.0
2024,12,,Renúncia,0.0,741.35,0.0,741.35
2024,12,,Restituições,0.0,89794.74,0.0,89794.74
2024,12,,Descontos Concedidos,0.0,0.0,0.0,0.0
2024,12,,Outras Deduções,0.0,2.8,0.0,2.8
2024,13,RECEITA PATRIMONIAL,,82635000.0,92655232.33,10020232.33,0.0
2024,14,RECEITA AGROPECUÁRIA,,0.0,0.0,0.0,0.0
2024,15,RECEITA INDUSTRIAL,,0.0,0.0,0.0,0.0
2024,16,RECEITA DE SERVIÇOS,,42778000.0,47912553.21,5134553.21,0.0
2024,16,,Renúncia,0.0,57263.0,0.0,57263.0
2024,16,,Outras Deduções,0.0,5055.3,0.0,5055.3
2024,17,TRANSFERÊNCIAS CORRENTES,,1441352000.0,1639614546.44,198262546.44,0.0
2024,17,,Deduções de Receita para a Formação do FUNDEB,135495000.0,130584420.75,4910579.25,0.0
2024,19,OUTRAS RECEITAS CORRENTES,,71442000.0,89415257.86,17973257.86,0.0
2024,19,,Renúncia,0.0,3987668.29,0.0,3987668.29
2024,19,,Descontos Concedidos,0.0,105625.47,0.0,105625.47
2024,19,,Outras Deduções,0.0,563156.93,0.0,563156.93
2024,21,OPERAÇÕES DE CRÉDITO,,59000000.0,85196006.71,26196006.71,0.0
2024,22,ALIENAÇÃO DE BENS,,408000.0,130845.6,0.0,277154.4
2024,23,AMORTIZAÇÃO DE EMPRÉSTIMOS,,0.0,0.0,0.0,0.0
2024,24,TRANSFERÊNCIAS DE CAPITAL,,11780000.0,35790817.5,24010817.5,0.0
2024,29,OUTRAS RECEITAS DE CAPITAL,,0.0,48497.0,48497.0,0.0
2024,72,CONTRIBUIÇÕES - INTRAORÇAMENTÁRIA,,387814000.0,396010549.88,8196549.88,0.0
2024,73,RECEITA PATRIMONIAL,,914000.0,977876.76,63876.76,0.0
2024,76,RECEITA DE SERVIÇOS,,13689000.0,13627836.42,0.0,61163.58
2024,79,OUTRAS RECEITAS CORRENTES,,100556000.0,110999115.55,10443115.55,0.0
