Exercício;Entidade;Empenhado;Estornado;Reversão;Líquido
2023;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"17.348.451,49";"719.969,74";"0,00";"16.628.481,75"
2023;Autarquia Municipal de Saúde - AMS;"180.518,34";"1.616,99";"0,00";"178.901,35"
2023;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"13.767.473,56";"1.004.382,27";"0,00";"12.763.091,29"
2023;Câmara Municipal de Londrina;"44.456.368,53";"1.320.677,59";"9.995,05";"43.145.685,99"
2023;Fundação de Esportes de Londrina;"14.501.589,39";"344.189,88";"0,00";"14.157.399,51"
2023;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"420.947,53";"21.615,41";"0,00";"399.332,12"
2023;Fundo de Previdência Social dos Servidores Municipais de Londrina;"506.699.723,48";"607.538,60";"0,00";"506.092.184,88"
2023;Fundo de Urbanização de Londrina;"141.668.651,69";"11.888.681,82";"0,00";"129.779.969,87"
2023;Fundo Municipal de Saúde de Londrina;"1.028.818.998,02";"38.521.965,25";"0,00";"990.297.032,77"
2023;Instituto de Desenvolvimento de Londrina - CODEL;"16.525.439,75";"200.616,28";"0,00";"16.324.823,47"
2023;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"7.046.399,42";"130.920,29";"0,00";"6.915.479,13"
2023;Prefeitura do Município de Londrina;"1.829.442.044,11";"53.776.683,61";"18.734,63";"1.775.684.095,13"
2023 total;;"3.620.876.605,31";"108.538.857,73";"28.729,68";"3.512.366.477,26"
