Exercício;Entidade;Empenhado;Estornado;Reversão;Líquido
2021;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"15.791.204,40";"313.314,58";"0,00";"15.477.889,82"
2021;Autarquia Municipal de Saúde - AMS;"28.675,35";"3.008,13";"0,00";"25.667,22"
2021;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"10.019.582,39";"205.119,39";"0,00";"9.814.463,00"
2021;Câmara Municipal de Londrina;"33.071.677,89";"332.050,26";"1.580,33";"32.741.207,96"
2021;Fundação de Esportes de Londrina;"7.957.963,97";"108.395,02";"0,00";"7.849.568,95"
2021;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"65.134.069,72";"4.194.420,74";"38.522,19";"60.978.171,17"
2021;Fundo de Previdência Social dos Servidores Municipais de Londrina;"379.347.572,17";"3.000.000,00";"0,00";"376.347.572,17"
2021;Fundo de Urbanização de Londrina;"104.978.892,24";"10.593.670,18";"0,00";"94.385.222,06"
2021;Fundo Municipal de Saúde de Londrina;"886.797.239,08";"44.558.764,66";"2.409,22";"842.240.883,64"
2021;Instituto de Desenvolvimento de Londrina - CODEL;"7.630.596,64";"22.442,62";"0,00";"7.608.154,02"
2021;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"5.850.286,29";"444.335,34";"0,00";"5.405.950,95"
2021;Prefeitura do Município de Londrina;"1.256.167.362,65";"43.406.750,00";"1.020,00";"1.212.761.632,65"
2021 total;;"2.772.775.122,79";"107.182.270,92";"43.531,74";"2.665.636.383,61"
