Exercício;Entidade;Empenhado;Estornado;Reversão;Líquido
2022;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"16.906.812,33";"706.829,81";"239,90";"16.200.222,42"
2022;Autarquia Municipal de Saúde - AMS;"90.360,93";"1.217,15";"0,00";"89.143,78"
2022;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"13.495.354,86";"986.639,91";"0,00";"12.508.714,95"
2022;Câmara Municipal de Londrina;"39.312.176,00";"359.534,64";"10.771,09";"38.963.412,45"
2022;Fundação de Esportes de Londrina;"12.676.425,04";"203.646,33";"0,00";"12.472.778,71"
2022;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"19.038.748,27";"2.920.475,72";"0,00";"16.118.272,55"
2022;Fundo de Previdência Social dos Servidores Municipais de Londrina;"441.685.396,56";"4.680,05";"0,00";"441.680.716,51"
2022;Fundo de Urbanização de Londrina;"134.023.252,93";"13.993.632,57";"0,00";"120.029.620,36"
2022;Fundo Municipal de Saúde de Londrina;"904.352.539,80";"45.967.089,80";"1.123,28";"858.386.573,28"
2022;Instituto de Desenvolvimento de Londrina - CODEL;"13.564.356,86";"156.000,45";"14.330,29";"13.422.686,70"
2022;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"6.022.084,40";"92.353,67";"0,00";"5.929.730,73"
2022;Prefeitura do Município de Londrina;"1.469.648.600,54";"64.475.730,75";"187.761,96";"1.405.360.631,75"
2022 total;;"3.070.816.108,52";"129.867.830,85";"214.226,52";"2.941.162.504,19"
