Exercício;Entidade;Empenhado;Estornado;Reversão;Líquido
2018;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"10.667.098,17";"252.503,22";"0,00";"10.414.594,95"
2018;Autarquia Municipal de Saúde - AMS;"40.639,08";"0,00";"0,00";"40.639,08"
2018;CAAPSML - Plano de Previdência Social - Fundo Previdenciário;"296.567.345,29";"3.788,81";"0,00";"296.563.556,48"
2018;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"9.012.721,84";"126.056,75";"4.763,37";"8.891.428,46"
2018;Câmara Municipal de Londrina;"32.161.742,35";"730.814,75";"397,52";"31.431.325,12"
2018;Fundação de Esportes de Londrina;"9.637.278,23";"372.718,89";"29.633,43";"9.294.192,77"
2018;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"67.883.797,78";"10.529.412,76";"0,00";"57.354.385,02"
2018;Fundo de Urbanização de Londrina;"86.212.521,30";"6.775.696,68";"0,00";"79.436.824,62"
2018;Fundo Municipal de Saúde de Londrina;"665.372.171,10";"23.282.886,62";"27,10";"642.089.311,58"
2018;Instituto de Desenvolvimento de Londrina - CODEL;"5.736.580,14";"18.443,35";"0,00";"5.718.136,79"
2018;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"4.631.612,21";"28.472,02";"0,00";"4.603.140,19"
2018;Prefeitura do Município de Londrina;"934.899.227,59";"31.133.866,53";"60,00";"903.765.421,06"
2018 total;;"2.122.822.735,08";"73.254.660,38";"34.881,42";"2.049.602.956,12"
