Exercício;Entidade;Empenhado;Estornado;Reversão;Líquido
2020;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"14.036.277,94";"469.909,38";"0,00";"13.566.368,56"
2020;Autarquia Municipal de Saúde - AMS;"72.952,71";"6.388,84";"0,00";"66.563,87"
2020;CAAPSML - Plano de Previdência Social - Fundo Previdenciário;"353.988.209,08";"80.772,95";"0,00";"353.907.436,13"
2020;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"13.272.738,41";"424.799,59";"0,00";"12.847.938,82"
2020;Câmara Municipal de Londrina;"34.716.351,38";"378.247,90";"0,00";"34.338.103,48"
2020;Fundação de Esportes de Londrina;"7.749.696,15";"131.325,53";"0,00";"7.618.370,62"
2020;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"64.141.776,08";"5.289.589,25";"62.720,36";"58.914.907,19"
2020;Fundo de Urbanização de Londrina;"107.541.420,50";"9.102.394,58";"0,00";"98.439.025,92"
2020;Fundo Municipal de Saúde de Londrina;"845.169.949,57";"47.176.727,79";"1.386,00";"797.994.607,78"
2020;Instituto de Desenvolvimento de Londrina - CODEL;"8.173.225,04";"70.593,00";"0,00";"8.102.632,04"
2020;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"5.104.568,49";"58.588,03";"0,00";"5.045.980,46"
2020;Prefeitura do Município de Londrina;"1.094.519.908,11";"57.542.525,73";"6.857,76";"1.036.984.240,14"
2020 total;;"2.548.487.073,46";"120.731.862,57";"70.964,12";"2.427.826.175,01"
