Exercício;Entidade;Empenhado;Estornado;Reversão;Líquido
2025;Administração dos Cemitérios e Serviços Funerários de Londrina - ACESF;"11.464.057,61";"200.261,55";"0,00";"11.263.796,06"
2025;Autarquia Municipal de Saúde - AMS;"197.886,78";"3.436,58";"0,00";"194.450,20"
2025;Caixa de Assist.Aposent. Pensões dos Servidores Municipais de Londrina;"9.096.153,40";"514.970,76";"0,00";"8.581.182,64"
2025;Câmara Municipal de Londrina;"27.232.671,36";"432.800,64";"0,00";"26.799.870,72"
2025;Fundação de Esportes de Londrina;"8.306.324,95";"372.933,81";"66,35";"7.933.457,49"
2025;Fundo de Assistência à Saúde dos Servidores Municipais de Londrina;"78.028,06";"6.118,61";"0,00";"71.909,45"
2025;Fundo de Previdência Social dos Servidores Municipais de Londrina;"331.398.622,31";"6.828,70";"0,00";"331.391.793,61"
2025;Fundo de Urbanização de Londrina;"101.487.578,05";"9.456.881,12";"17.024,36";"92.047.721,29"
2025;Fundo Municipal de Saúde de Londrina;"714.349.472,58";"10.547.830,03";"0,00";"703.801.642,55"
2025;Instituto de Desenvolvimento de Londrina - CODEL;"3.178.748,08";"38.365,00";"0,00";"3.140.383,08"
2025;Instituto de Pesquisa e Planejamento Urbano de Londrina - IPPUL;"4.346.210,37";"49.082,05";"0,00";"4.297.128,32"
2025;Prefeitura do Município de Londrina;"1.264.381.084,83";"64.397.330,34";"3.188,11";"1.199.986.942,60"
2025 total;;"2.475.516.838,38";"86.026.839,19";"20.278,82";"2.389.510.278,01"
